,team_win,gameDuration,total__stats_kills,total__stats_deaths,total__stats_assists,total__stats_largestKillingSpree,total__stats_largestMultiKill,total__stats_killingSprees,total__stats_longestTimeSpentLiving,total__stats_doubleKills,total__stats_tripleKills,total__stats_quadraKills,total__stats_pentaKills,total__stats_totalDamageDealt,total__stats_magicDamageDealt,total__stats_physicalDamageDealt,total__stats_trueDamageDealt,total__stats_largestCriticalStrike,total__stats_totalDamageDealtToChampions,total__stats_magicDamageDealtToChampions,total__stats_physicalDamageDealtToChampions,total__stats_trueDamageDealtToChampions,total__stats_totalHeal,total__stats_totalUnitsHealed,total__stats_damageSelfMitigated,total__stats_damageDealtToObjectives,total__stats_visionScore,total__stats_timeCCingOthers,total__stats_totalDamageTaken,total__stats_magicalDamageTaken,total__stats_physicalDamageTaken,total__stats_trueDamageTaken,total__stats_goldEarned,total__stats_goldSpent,total__stats_inhibitorKills,total__stats_totalMinionsKilled,total__stats_neutralMinionsKilled,total__stats_neutralMinionsKilledTeamJungle,total__stats_neutralMinionsKilledEnemyJungle,total__stats_totalTimeCrowdControlDealt,total__stats_champLevel,total__stats_visionWardsBoughtInGame,total__stats_wardsPlaced,total__stats_wardsKilled,teams_firstBlood,teams_firstTower,teams_firstInhibitor,teams_firstBaron,teams_firstDragon,teams_firstRiftHerald,teams_towerKills,teams_inhibitorKills,teams_baronKills,teams_dragonKills
1047,0,1412,25,29,37,13,6,6,2503,3,0,0,0,341690,119349,201749,20588,842,63735,23310,38148,2274,33834,15,80417,15003,76,134,89536,10787,73218,5527,40409,38195,0,386,98,78,4,927,60,8,38,9,1,0,0,0,1,0,0,0,1,0
1048,1,2261,44,26,82,23,8,10,3395,4,1,0,0,692838,262486,395941,34406,38,138315,72467,60223,5620,57693,7,142945,65686,146,131,145669,29040,108812,7814,66557,58510,1,515,207,136,13,1207,82,5,62,14,0,0,1,0,0,1,1,0,4,1
1049,0,2261,26,44,21,9,6,6,2341,3,0,0,0,694840,150664,506178,37993,1016,107366,27124,74433,5804,40353,10,151043,24710,153,94,173697,74953,92992,5750,60284,58610,0,655,213,154,12,811,76,8,66,11,1,1,0,0,1,0,0,0,1,0
1050,1,2269,43,22,64,16,9,9,2784,8,1,1,0,731482,258176,385654,87653,671,112735,50217,54491,8026,67557,9,97630,93568,244,124,146294,65847,72323,8117,69506,62860,2,618,162,98,6,1653,85,23,101,23,1,1,0,1,1,0,2,2,4,1
1051,0,2269,22,43,29,10,6,6,2997,2,0,0,0,738577,342491,344830,51250,700,109869,63160,38587,8118,32928,7,134572,35210,171,135,142245,52853,81364,8025,59073,55685,1,610,199,162,4,2175,76,17,77,27,0,0,1,0,0,1,1,0,0,1
1052,1,1979,38,44,55,10,8,9,2898,4,1,0,0,683509,79428,572779,31298,1058,121340,33264,81110,6961,45933,8,129405,44164,143,113,157877,34403,117254,6216,65447,58348,1,679,163,111,8,779,78,7,51,20,1,1,1,0,1,1,1,0,1,1
1053,0,1979,44,38,68,17,10,8,2853,8,2,1,0,593215,105845,451752,35613,542,122371,31473,84676,6215,43638,8,152279,57719,158,122,150898,35818,108113,6962,64906,60495,0,533,182,119,16,674,80,22,61,16,0,0,0,1,0,0,0,1,3,0
1054,1,973,27,12,20,17,7,6,2167,1,1,0,0,337660,101920,191564,44174,405,43997,20982,20308,2703,20002,5,25665,45271,44,112,51586,3458,44220,3905,38136,32445,0,359,112,68,9,871,53,5,22,2,1,1,0,0,1,1,0,0,2,1
1055,0,973,12,27,6,5,5,2,1654,1,0,0,0,167785,7379,135197,25205,337,26986,2326,20751,3906,6577,7,25086,2366,26,90,52141,21399,28035,2702,24004,22380,0,273,40,29,0,299,44,5,18,2,0,0,0,0,0,0,0,0,0,0
1056,1,1617,38,24,42,16,9,12,3392,3,1,0,0,594364,56691,471296,66373,1030,83289,12495,60536,10256,41328,11,62391,71487,115,116,104981,33077,67901,3998,58811,51850,3,519,172,85,43,1151,71,11,45,8,0,1,1,1,1,1,3,1,3,1
1057,0,1617,24,38,34,9,6,5,1674,1,0,0,0,397936,110032,249565,38334,696,70931,29582,37345,3998,9661,10,82015,15930,69,100,99101,12989,75853,10254,44022,42160,0,395,115,88,1,867,62,1,39,11,1,0,0,0,0,0,0,0,0,0
1058,1,2280,59,66,73,15,9,14,2672,10,2,1,1,707371,244388,370964,92013,1169,194573,68328,83529,42714,52302,8,118031,48826,103,173,201491,67585,119857,14043,74409,71320,2,446,154,106,7,1553,85,3,36,2,0,0,0,1,0,0,2,1,2,0
1059,0,2280,65,59,58,23,11,14,2987,7,1,1,0,703429,253589,406569,43265,678,163743,64906,84788,14044,60181,5,191949,56201,98,175,231658,70674,117530,43450,71807,66525,2,523,139,86,20,1116,84,3,37,4,1,1,1,0,1,0,2,1,2,0
1060,1,1211,26,7,31,21,6,6,2253,2,0,0,0,338008,126679,193211,18116,953,51513,21496,28105,1908,18339,7,26209,43296,88,70,55048,20139,33877,1029,40521,35755,2,398,119,77,11,716,56,8,36,0,1,1,1,0,1,1,2,0,1,2
1061,0,1211,7,26,5,4,4,2,2348,0,0,0,0,249316,107632,105911,35770,0,30063,18719,10312,1029,10439,6,40144,6047,46,44,64731,22221,40599,1907,28423,25333,0,312,68,55,0,633,50,0,24,4,0,0,0,0,0,0,0,0,0,0
1062,1,1311,49,16,67,26,7,12,2867,4,0,0,0,426935,155963,240333,30635,371,80698,36569,42661,1465,20108,6,44186,43298,77,96,67831,3135,59002,5690,47629,37993,1,370,125,67,23,688,62,7,39,3,1,1,1,0,1,0,1,0,2,0
1063,0,1311,16,50,16,6,7,3,1903,2,1,0,0,250510,15287,213776,21444,1612,42206,1816,34696,5691,16290,5,55110,17936,49,84,97166,38048,57650,1465,39279,34350,0,287,101,80,0,926,52,1,20,5,0,0,0,0,0,1,0,0,0,2
1064,1,1739,35,26,35,20,9,6,3286,4,2,0,0,592256,126749,415497,50005,1107,99356,37062,59208,3082,29156,12,60326,46181,74,105,94343,49472,40529,4336,58156,48185,2,592,172,127,7,561,76,5,45,5,0,1,1,0,1,1,3,0,2,1
1065,0,1739,26,37,29,14,7,6,3194,2,0,0,0,441174,218488,137080,85600,0,64087,48227,11522,4336,27765,8,82268,28377,112,145,127823,37730,87008,3081,47588,46445,0,486,116,84,0,945,67,4,46,12,1,0,0,0,0,0,0,0,2,0
1066,1,1299,18,6,11,15,5,5,2034,0,0,0,0,418677,127992,246304,44376,319,41735,12532,26262,2938,22201,6,30679,24667,66,66,58223,21648,35869,702,39967,33935,1,520,148,84,40,833,61,3,31,5,1,1,1,0,1,1,1,0,1,1
1067,0,1299,6,18,7,6,3,2,3036,1,0,0,0,265155,144621,101573,18958,0,28699,19037,8829,830,25050,9,32900,3203,54,63,57218,13125,41022,3066,26587,23975,0,333,68,58,0,851,53,7,30,1,0,0,0,0,0,0,0,0,0,0
1068,1,2092,40,34,61,19,9,10,2794,8,0,0,0,686064,37841,528239,119979,1523,124669,15960,81076,27627,51471,13,128739,77107,180,128,146456,59216,77797,9437,67340,62955,1,619,206,136,28,654,83,17,84,18,0,0,1,1,1,0,1,1,4,0
1069,0,2092,34,40,48,20,7,6,3638,4,0,0,0,593609,304042,223648,65913,709,103271,56965,39179,7124,25244,12,175558,33670,138,223,144079,17290,99157,27626,57431,54095,0,515,176,109,23,1061,76,9,61,12,1,1,0,0,0,1,0,0,0,2
